id,name,brand,company,price,isbn
1,Bumetanide,Bumetanide,Mylan Institutional Inc.,$42.28,158995707-5
2,"Juniperus virginiana, Lappa major, Rhamnus purshiana, Syzygium jambolanum, Chelidonium majus, Lycopodium clavatum, Myrtus communis, Natrum sulphuricum, Phosphoricum acidum, Phosphorus, Tarentula cuben",Pancreaforce,Apotheca Company,$21.18,042329202-1
3,Aspirin,Low Dose Aspirin,"GREAT LAKES WHOLESALE, MARKETING, & SALES, INC.",$12.03,491425980-X
4,Pulmo Ferrum,Pulmo Ferrum,Uriel Pharmacy Inc.,$23.67,136397285-5
5,CARBAMAZEPINE,Carbamazepine,State of Florida DOH Central Pharmacy,$22.91,612230084-5
6,Guaifenesin,Little Remedies Little Colds Mucus Relief Expectorant Melt Aways,Medtech Products Inc.,$8.10,279432770-4
7,Virginia Live Oak,Virginia Live Oak,"Nelco Laboratories, Inc.",$23.99,157127655-6
8,"Apis mellifica, Arsenicum album, Belladonna, Chamomilla, Ecinacea, Lachesis mutus, Mercurius solubilis,",Bac,Apotheca Company,$40.51,284698258-9
9,ASAFETIDA,Flatulence,Natural Health Supply,$32.90,295382531-2
10,"DEXTROSE, SOYBEAN OIL, Electrolytes, Lysine, Phenylalanine, Leucine, Valine, Threonine, Methionine, Isoleucine, Tryptophan, Alanine, Arginine, Glycine, Proline, Histidine, Glutamic Acid, Serine, Aspartic Acid and Tyrosine",Kabiven,"Fresenius Kabi USA, LLC",$49.12,374316180-X
11,celtis occidentalis pollen,HACKBERRY POLLEN,"Allergy Laboratories, Inc.",$13.05,372934677-6
13,MIDAZOLAM HYDROCHLORIDE,Midazolam Hydrochloride,Cardinal Health,$32.98,119024909-X
14,BENZALKONIUM CHLORIDE,Mertodol Solution,"Laboratorios Jaloma, S.A. de C.V.",$2.77,499963137-7
15,Famotidine,Famotidine,Walmart Stores Inc.,$16.01,409770782-5
16,LIDOCAINE HYDROCHLORIDE and DEXTROSE MONOHYDRATE,Lidocaine Hydrochloride and Dextrose,"Hospira, Inc.",$33.88,369126404-2
17,ethionamide,Trecator,"Wyeth Pharmaceuticals Inc., a subsidiary of Pfizer Inc.",$34.22,962904771-3
18,"Dextromethorphan Hydrobromide, Guaifenesin, and Phenylephrine Hydrochloride",Tussin CF,"davAgen Pharmaceutical, LLC",$28.29,604651202-6
19,Lovastatin,Lovastatin,"AvKARE, Inc.",$38.49,717626271-3
20,minoxidil,hair regrowth treatment,Kroger Company,$11.07,815575043-4
21,Ketorolac Tromethamine,Ketorolac Tromethamine,Akorn Inc.,$20.28,509013913-X
22,Titanium dioxide,CLE DE PEAU BEAUTE CREAM COMPACT FOUNDATION,"SHISEIDO CO., LTD.",$22.25,788581888-8
23,amlodipine besylate and atorvastatin calcium,Amlodipine besylate/atorvastatin calcium,Mylan Pharmaceuticals Inc.,$40.00,744029534-X
24,Hydrochlorothiazide,Hydrochlorothiazide,West-ward Pharmaceutical Corp,$22.78,223305402-4
25,Allergenic Extracts Alum Precipitated,CENTER-AL - ULMUS PUMILA POLLEN,"ALK-Abello, Inc.",$16.34,022085801-2
26,PULSATILLA VULGARIS and EUPHORBIA RESINIFERA RESIN and LUFFA OPSILVER NITRATEERCULATA FRUIT and MERCURIC IODIDE and SUS SCROFA NASAL MUCOSA and SILVER NITRATE and CALCIUM SULFIDE and SINUSITISINUM,Sinusin,Biologische Heilmittel Heel,$30.98,731987404-0
27,Acetaminophen,Sunmark Infants Pain and Fever,McKesson,$43.84,922825257-X
28,didanosine enteric-coated beadlets,Didanosine,Mylan Pharmaceuticals Inc.,$13.74,244934913-8
29,Quetiapine fumarate,Quetiapine fumarate,"Physicians Total Care, Inc.",$34.14,092268929-6
30,Aluminum Chlorohydrate,Ladys Choice Invisible Solid,"Church & Dwight Co., Inc.",$22.77,315887735-X
31,"OCTINOXATE, OXYBENZONE",Aruba Aloe Very Water Resistant Sunscreen,"Aruba Aloe Balm, NV",$46.70,696551741-7
32,Esterified Estrogens and Methyltestosterone,Esterified Estrogens and Methyltestosterone,ANIP Acquisition Company,$24.71,172712059-0
33,Naphazoline Hydrochloride,Naphazoline,"Akorn, Inc.",$22.71,113789982-4
34,"Acetaminophen, Dextromethorphan Hydrobromide, Phenylephrine HCI",Day Time,Rite Aid,$31.32,616900528-9
35,ethyl alcohol,Zesty Lemon,Shanghai Weierya Daily Chemicals Factory,$29.43,834576034-1
36,Cefuroxime Axetil,Cefuroxime Axetil,Gen-Source Rx,$32.90,824078482-8
37,Triamterene and hydrochlorothiazide,Triamterene hydrochlorothiazide,Carilion Materials Management,$11.91,425513090-6
38,"ACETAMINOPHEN, DEXTROMETHORPHAN HYDROBROMIDE, DOXYLAMINE SUCCINATE",Multi-Symptom Nitetime,P and L Development of New York Corporation (ReadyInCase),$47.60,375767885-0
39,Sulfasalazine,Sulfasalazine,"Aphena Pharma Solutions - Tennessee, LLC",$10.97,229895496-8
40,Flavoxate Hydrochloride,Flavoxate Hydrochloride,"Golden State Medical Supply, Inc.",$24.41,246457882-7
41,"FERROUS FUMARATE, ASCORBIC ACID, INTRINSIC FACTOR , CYANOCOBALAMIN",HEMATOGEN,Nnodum Pharmaceuticals,$28.00,713286507-2
42,bacitracin zinc neomycin sulfate polymyxin b sulfate,TRIPLE ANTIBIOTIC,"DOLGENCORP, LLC",$24.13,157187449-6
